Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
NASCAR 2000,PS,1999,Racing,Electronic Arts,0.88,0.6,0,0.1,1.59,,,,,,
Pokemon Battle Revolution,Wii,2006,Role-Playing,Nintendo,0.78,0.37,0.3,0.13,1.58,53,34,6.7,106,Genius Sonority Inc.,E
Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Action,Square Enix,0.88,0.26,0.34,0.1,1.58,75,54,8.2,267,Square Enix,E10+
Dance Dance Revolution: Hottest Party 2,Wii,2008,Simulation,Konami Digital Entertainment,0.94,0.48,0.01,0.15,1.58,69,8,6.8,6,Konami,E10+
SoulCalibur IV,X360,2008,Fighting,Ubisoft,0.92,0.43,0.07,0.15,1.58,85,62,7.9,157,Namco,T
Jampack Summer 2K,PS,2000,Misc,Sony Computer Entertainment,0.88,0.6,0,0.1,1.58,,,,,,
Sonic Generations,PS3,2011,Platform,Sega,0.6,0.69,0.02,0.26,1.58,76,38,8.2,253,Sega,E
Spyro 2: Season of Flame,GBA,2002,Platform,Vivendi Games,0.85,0.65,0,0.08,1.58,76,18,7.6,13,Digital Eclipse,E
Mario Party 10,WiiU,2015,Misc,Nintendo,0.69,0.53,0.24,0.12,1.58,66,66,6.5,279,"Nintendo, Nd Cube",E
Devil May Cry 4,PS3,2008,Action,Capcom,0.58,0.45,0.34,0.2,1.57,84,63,8.2,311,Capcom,M
Dead Rising 3,XOne,2013,Action,Microsoft Game Studios,1.06,0.35,0.01,0.15,1.57,78,69,6.8,908,Capcom Vancouver,M
Pro Evolution Soccer 2010,PS2,2009,Sports,Konami Digital Entertainment,0.1,0.18,0.12,1.16,1.57,,,8.1,15,Konami,E
NCAA Football 2002,PS2,2001,Sports,Electronic Arts,0.77,0.6,0,0.2,1.57,90,18,8.7,24,EA Sports,E
Gears of War: Judgment,X360,2013,Shooter,Microsoft Game Studios,0.92,0.5,0.03,0.12,1.57,79,81,5.4,779,Epic Games,M
Watch Dogs,XOne,2014,Action,Ubisoft,0.9,0.53,0,0.14,1.57,78,15,5.8,712,Ubisoft Montreal,M
Guitar Hero: On Tour Decades,DS,2008,Misc,Activision,0.84,0.57,0,0.16,1.57,72,40,8,5,Vicarious Visions,E10+
FIFA 16,X360,2015,Sports,Electronic Arts,0.57,0.88,0,0.12,1.57,,,2.9,45,EA Sports,E
Madden NFL 15,XOne,2014,Sports,Electronic Arts,1.31,0.09,0,0.16,1.57,80,19,6.4,138,EA Sports,E
Conflict: Desert Storm,PS2,2002,Shooter,Gotham Games,0.98,0.53,0,0.06,1.57,55,10,8.6,45,Pivotal Games,T
Mario Party 7,GC,2005,Misc,Nintendo,0.95,0.11,0.46,0.04,1.57,64,25,7.9,53,Hudson,E
Dragon Quest V: Hand of the Heavenly Bride,DS,2008,Role-Playing,Square Enix,0.17,0.02,1.36,0.02,1.57,84,46,8.5,57,ArtePiazza,E10+
High School Musical 3: Senior Year,DS,2008,Misc,Disney Interactive Studios,0.63,0.76,0,0.17,1.56,,,,,,
Smuggler's Run,PS2,2000,Racing,Take-Two Interactive,0.77,0.6,0,0.2,1.56,79,21,6.8,18,Rockstar San Diego,T
Fight Night Round 3,PS2,2006,Fighting,Electronic Arts,1.07,0.4,0,0.1,1.56,84,32,8.1,41,EA Chicago,T
Need for Speed: Most Wanted,X360,2012,Racing,Electronic Arts,0.62,0.78,0.01,0.15,1.56,83,54,8.5,134,EA Canada,T
Carnival Games: Mini Golf,Wii,2008,Sports,Take-Two Interactive,0.86,0.54,0,0.15,1.56,38,10,5.7,7,Cat Daddy Games,E
Donkey Kong Classics,NES,1988,Platform,Nintendo,0.59,0.14,0.81,0.02,1.56,,,,,,
Hannah Montana: Music Jam,DS,2007,Action,Disney Interactive Studios,1.05,0.36,0,0.15,1.56,,,,,,
Twisted Metal,PS,1995,Action,Sony Computer Entertainment,1.32,0.19,0,0.05,1.56,,,,,,
Final Fight,SNES,1990,Action,Capcom,0.67,0.17,0.69,0.03,1.56,,,,,,
Pokemon Mystery Dungeon: Explorers of Sky,DS,2009,Role-Playing,Nintendo,0.57,0.43,0.44,0.12,1.56,54,26,9,133,ChunSoft,E
Dragon Quest Monsters 2,GB,2001,Role-Playing,Enix Corporation,0,0,1.56,0,1.56,,,,,,
Pokemon Pinball: Ruby & Sapphire,GBA,2003,Misc,Nintendo,0.68,0.38,0.44,0.05,1.56,,,,,,
MySims Kingdom,DS,2008,Simulation,Electronic Arts,0.8,0.59,0.01,0.16,1.55,58,9,tbd,,TOSE,E
LEGO Pirates of the Caribbean: The Video Game,Wii,2011,Action,Disney Interactive Studios,0.73,0.67,0,0.15,1.55,73,14,7,13,Traveller's Tales,E10+
Stuntman,PS2,2002,Racing,Atari,0.76,0.59,0,0.2,1.55,71,37,5.7,36,Reflections Interactive,T
Tom Clancy's Rainbow Six 3,XB,2003,Shooter,Ubisoft,0.91,0.57,0,0.07,1.55,86,39,8.5,31,Ubisoft,M
LEGO Harry Potter: Years 1-4,X360,2010,Action,Warner Bros. Interactive Entertainment,0.95,0.46,0,0.14,1.55,79,58,8,62,Traveller's Tales,E10+
007: The World is not Enough,N64,2000,Action,Electronic Arts,1.13,0.38,0.02,0.03,1.55,,,,,,
Spider-Man 2: Enter: Electro,PS,2001,Action,Activision,0.57,0.87,0.02,0.09,1.55,74,15,8.7,35,Vicarious Visions,E
Guitar Hero 5,Wii,2009,Misc,Activision,0.92,0.48,0,0.15,1.55,89,25,6.9,49,Vicarious Visions,T
Command & Conquer: Tiberian Sun,PC,1999,Strategy,Westwood Studios,1.55,0,0,0,1.55,,,,,,
Wolfenstein: The New Order,PS4,2014,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.24,1.55,79,73,8.1,1116,MachineGames,M
Mafia II,X360,2010,Action,Take-Two Interactive,0.85,0.55,0,0.15,1.55,74,79,7.8,458,2K Czech,M
Moshi Monsters: Moshling Zoo,DS,2011,Misc,Activision,0.37,0.96,0,0.21,1.54,,,tbd,,Mind Candy,E
BioShock 2,PS3,2010,Shooter,Take-Two Interactive,0.85,0.46,0.02,0.22,1.54,88,62,8.2,492,2K Marin,M
Dark Cloud,PS2,2000,Role-Playing,Sony Computer Entertainment,0.83,0.44,0.08,0.19,1.54,80,27,8.2,99,Level 5,T
Warcraft III: The Frozen Throne,PC,2003,Strategy,Activision,0.58,0.87,0,0.09,1.54,88,23,9,713,Blizzard Entertainment,T
Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.78,0.43,0.19,0.14,1.54,69,6,8.1,14,h.a.n.d. Inc.,E
Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006,Shooter,Ubisoft,1.4,0.02,0.02,0.1,1.54,90,78,8,215,Ubisoft Paris,T
Ratchet & Clank (2016),PS4,2016,Platform,Sony Computer Entertainment,0.5,0.76,0.04,0.24,1.54,,,,,,
MVP Baseball 2005,PS2,2005,Sports,Electronic Arts,1.26,0.07,0,0.21,1.54,87,25,8.6,47,EA Sports,E
Die Hard Trilogy,PS,1996,Shooter,Fox Interactive,0.85,0.58,0,0.1,1.54,,,,,,
Uncharted: Golden Abyss,PSV,2011,Shooter,Sony Computer Entertainment,0.53,0.66,0.13,0.22,1.53,80,80,7.4,770,"Naughty Dog, Sony Bend",T
Go Vacation,Wii,2011,Misc,Namco Bandai Games,0.42,0.65,0.33,0.14,1.53,64,28,7.8,13,Namco Bandai Games,E10+
Pro Evolution Soccer 2013,PS3,2012,Sports,Konami Digital Entertainment,0.18,0.63,0.49,0.24,1.53,82,37,6.7,146,Konami,E
Mortal Kombat 3,SNES,1994,Fighting,Acclaim Entertainment,1.19,0.29,0,0.05,1.53,,,,,,
NFL GameDay 99,PS,1998,Sports,989 Studios,1.44,0.05,0,0.04,1.53,,,,,,
Dishonored,PS3,2012,Action,Bethesda Softworks,0.72,0.52,0.04,0.25,1.53,89,35,7.9,781,Arkane Studios,M
Mario Golf: Toadstool Tour,GC,2003,Sports,Nintendo,1.09,0.15,0.25,0.04,1.53,81,49,8,56,Camelot Software Planning,E
Tiger Woods 99 PGA Tour Golf,PS,1997,Sports,Electronic Arts,0.85,0.58,0,0.1,1.53,,,,,,
Call of Duty: Black Ops II,PC,2012,Shooter,Activision,0.64,0.69,0,0.19,1.53,74,11,4.2,1635,Treyarch,M
Resident Evil: The Umbrella Chronicles,Wii,2007,Action,Capcom,0.67,0.43,0.29,0.14,1.52,75,47,7.6,122,Cavia Inc.,M
Knockout Kings,PS,1997,Fighting,Electronic Arts,1.07,0.39,0,0.06,1.52,,,,,,
The Simpsons Skateboarding,PS2,2002,Sports,Electronic Arts,0.36,0.9,0,0.27,1.52,38,21,5,26,The Code Monkeys,T
Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo,0.7,0.55,0.16,0.12,1.52,83,77,8.9,712,Retro Studios,E
NASCAR 98,PS,1996,Racing,Electronic Arts,1.43,0.05,0,0.04,1.52,,,,,,
Xevious,NES,1984,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,1.52,,,,,,
F1 Race,NES,1984,Racing,Nintendo,0,0,1.52,0,1.52,,,,,,
NASCAR 99,PS,1998,Racing,Electronic Arts,1.45,0.04,0,0.04,1.52,,,,,,
Final Fantasy XIV: A Realm Reborn,PC,2010,Role-Playing,Square Enix,0.88,0.48,0,0.17,1.52,,,,,,
NBA Live 2000,PS,1998,Sports,Electronic Arts,1.43,0.05,0,0.03,1.52,,,,,,
Fight Night Round 4,PS3,2009,Fighting,Electronic Arts,0.92,0.4,0,0.2,1.52,88,46,7.6,95,EA Canada,T
Super Monkey Ball 2,GC,2002,Puzzle,Atari,1.11,0.31,0.06,0.04,1.52,87,34,8.5,51,Amusement Vision,E
Pac-Man World 2,PS2,2002,Action,Namco Bandai Games,1.26,0.05,0,0.21,1.51,73,19,7.8,26,Namco,E
Disney Fairies: Tinker Bell,DS,2008,Adventure,Disney Interactive Studios,0.85,0.51,0.01,0.15,1.51,,,7.8,5,"Genius Sonority Inc., Disney Interactive Studios",E
MySims Kingdom,Wii,2008,Simulation,Electronic Arts,0.7,0.64,0.01,0.16,1.51,76,19,8.1,24,EA Redwood Shores,E
Dead Space 2,X360,2011,Shooter,Electronic Arts,0.94,0.44,0,0.13,1.51,90,83,8.6,679,Visceral Games,M
Puzzle & Dragons,3DS,2013,Role-Playing,GungHo,0,0,1.51,0,1.51,,,,,,
Call of Duty: Modern Warfare: Reflex Edition,Wii,2009,Shooter,Activision,0.94,0.43,0,0.14,1.51,,,,,,
Mega Man 2,NES,1988,Action,Capcom,0.93,0.15,0.42,0.01,1.51,,,,,,
Simpsons Wrestling,PS,2001,Fighting,Electronic Arts,0.23,1.16,0,0.11,1.51,,,,,,
NBA Live 98,PS,1997,Sports,Electronic Arts,1.41,0.06,0,0.04,1.51,,,,,,
The Simpsons Game,PS2,2007,Action,Electronic Arts,0.35,0.03,0,1.13,1.51,68,10,8.2,27,Electronic Arts,T
Monopoly,PS,1997,Misc,Hasbro Interactive,1.18,0.27,0,0.05,1.51,,,,,,
The Simpsons Game,DS,2007,Action,Electronic Arts,0.56,0.77,0,0.17,1.51,69,17,7.3,18,Griptonite Games,T
Football Manager 2012,PC,2011,Sports,Sega,0.02,1.16,0,0.33,1.51,84,45,8,172,Sports Interactive,E
Ni no Kuni: Wrath of the White Witch,PS3,2011,Role-Playing,Namco Bandai Games,0.6,0.47,0.21,0.23,1.51,85,89,8.6,984,Level 5,E10+
SoulCalibur II,GC,2003,Fighting,Namco Bandai Games,0.99,0.32,0.11,0.08,1.5,93,45,9.1,135,Namco,T
Call of Duty 3,PS3,2006,Shooter,Activision,0.6,0.62,0.03,0.26,1.5,80,43,6.9,92,Treyarch,T
Tokyo Xtreme Racer Zero,PS2,2000,Racing,Crave Entertainment,0.66,0.52,0.15,0.17,1.5,76,15,8.9,64,Genki,E
NFL Blitz,PS,1998,Sports,Midway Games,1.41,0.05,0,0.04,1.5,,,,,,
Red Faction II,PS2,2002,Shooter,THQ,0.49,0.78,0,0.23,1.5,84,30,8.3,35,Volition Inc.,M
Madden NFL 2001,PS2,2000,Sports,Electronic Arts,1.19,0.07,0.05,0.2,1.5,91,25,7.7,7,EA Sports,E
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Platform,Hudson Soft,0,0,1.5,0,1.5,,,,,,
WWF No Mercy,N64,2000,Fighting,THQ,1.2,0.27,0.02,0.02,1.5,,,,,,
Ice Climber,NES,1985,Platform,Nintendo,0.46,0.1,0.92,0.02,1.5,,,,,,
Sonic CD,SCD,1993,Platform,Sega,1,0.36,0.09,0.05,1.5,,,,,,
Star Wars: The Force Unleashed II,PS3,2010,Action,LucasArts,0.8,0.49,0,0.21,1.5,63,41,6.8,121,LucasArts,T
Pac-Man World,PS,1998,Action,Namco Bandai Games,1.21,0.14,0.1,0.04,1.5,,,,,,
Rock Band 2,PS3,2008,Misc,MTV Games,1.13,0.2,0,0.16,1.49,91,24,7.9,88,Harmonix Music Systems,T
Final Fantasy: Crystal Chronicles,GC,2003,Role-Playing,Nintendo,0.72,0.38,0.36,0.04,1.49,80,55,8.1,94,Square Enix,T
Medal of Honor: Frontline,XB,2002,Shooter,Electronic Arts,1,0.43,0,0.06,1.49,81,18,6.9,23,EA LA,T
Madden NFL 09,PS2,2008,Sports,Electronic Arts,1.22,0,0,0.27,1.49,67,4,7,24,EA Tiburon,E
Dead Rising 2,X360,2010,Action,Capcom,0.75,0.52,0.09,0.12,1.49,79,76,6.9,216,Blue Castle Games,M
Banjo-Tooie,N64,2000,Platform,Nintendo,0.82,0.36,0.25,0.06,1.49,,,,,,
Buzz! The BIG Quiz,PS2,2006,Misc,Sony Computer Entertainment,0,1.1,0,0.39,1.49,,,,,,
Mafia II,PS3,2010,Action,Take-Two Interactive,0.5,0.69,0.04,0.26,1.49,75,61,7.7,297,2K Czech,M
Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.88,0.47,0,0.14,1.49,85,16,6.6,694,Rocksteady Studios,M
Doom (2016),PS4,2016,Shooter,Bethesda Softworks,0.54,0.69,0.02,0.24,1.49,,,,,,
Dirge of Cerberus: Final Fantasy VII,PS2,2006,Shooter,Square Enix,0.47,0.37,0.52,0.12,1.48,57,51,6.9,103,Square Enix,T
WWF WrestleMania 2000,N64,1999,Fighting,THQ,1.2,0.25,0.02,0.02,1.48,,,,,,
Wario Land II,GB,1997,Platform,Nintendo,0.7,0.35,0.39,0.04,1.48,,,,,,
Nintendo World Cup,NES,1990,Sports,Nintendo,0.28,0.5,0.65,0.05,1.48,,,,,,
Sonic Rivals 2,PSP,2007,Racing,Sega,0.44,0.67,0,0.37,1.48,60,24,7.8,35,Backbone Entertainment,E
Bratz: Forever Diamondz,DS,2006,Adventure,THQ,0.43,0.88,0,0.18,1.48,,,6.5,4,Barking Lizards,E
Resistance 3,PS3,2011,Shooter,Sony Computer Entertainment,0.64,0.57,0.05,0.22,1.48,83,91,7.8,543,Insomniac Games,M
Drawn To Life: SpongeBob SquarePants Edition,DS,2008,Adventure,THQ,0.99,0.35,0,0.13,1.48,68,12,5.5,4,Altron,E
Disney Sing It: Pop Hits,Wii,2009,Misc,Disney Interactive Studios,1.07,0.28,0,0.13,1.48,,,tbd,,Zoe Mode,E
007: Quantum of Solace,X360,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,65,69,7.1,71,Treyarch,T
Major League Baseball 2K5,PS2,2005,Sports,Take-Two Interactive,0.72,0.56,0,0.19,1.48,82,19,7.4,20,Kush Games,E
Fight Night 2004,PS2,2004,Fighting,Electronic Arts,1.08,0.2,0,0.2,1.48,85,43,9,25,EA Sports,T
LEGO Star Wars III: The Clone Wars,X360,2011,Action,LucasArts,0.84,0.51,0,0.13,1.48,75,43,7.8,42,Traveller's Tales,E10+
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004,Action,Ubisoft,0.82,0.59,0,0.07,1.48,93,74,8.6,68,Ubisoft Shanghai,T
LEGO City Undercover,3DS,2013,Platform,Nintendo,0.52,0.77,0.07,0.11,1.47,,,,,,
Imagine: Master Chef,DS,2007,Simulation,Ubisoft,0.39,0.91,0,0.17,1.47,,,tbd,,Ubisoft,E
Disney Princess,GBA,2003,Platform,THQ,1.04,0.37,0,0.06,1.47,,,tbd,,Art,E
Mario Golf,N64,1999,Action,Nintendo,0.62,0.18,0.65,0.02,1.47,,,,,,
Call of Duty Black Ops: Declassified,PSV,2012,Action,Activision,0.71,0.43,0.07,0.26,1.47,33,58,4.8,479,Nihilistic,M
Tom Clancy's Ghost Recon: Future Soldier,X360,2012,Shooter,Ubisoft,0.93,0.4,0.02,0.12,1.47,79,75,7.2,334,Ubisoft Paris,M
Fight Night Round 3,X360,2006,Fighting,Electronic Arts,1.33,0.03,0.01,0.1,1.47,86,67,8.8,264,EA Chicago,T
Xenogears,PS,1998,Role-Playing,SquareSoft,0.29,0.19,0.89,0.1,1.46,84,15,8.4,204,SquareSoft,T
The SpongeBob SquarePants Movie,GBA,2004,Platform,THQ,1.02,0.38,0,0.06,1.46,,,tbd,,WayForward,E
Super Scribblenauts,DS,2010,Puzzle,Warner Bros. Interactive Entertainment,1.06,0.29,0,0.11,1.46,81,53,8.2,46,5TH Cell,E10+
Midway Arcade Treasures,PS2,2003,Misc,Midway Games,0.72,0.56,0,0.19,1.46,76,22,tbd,,Midway,T
Triple Play 99,PS,N/A,Sports,N/A,0.81,0.55,0,0.1,1.46,,,,,,
Dragon Quest VII: Warriors of Eden,3DS,2013,Role-Playing,Square Enix,0.06,0.09,1.3,0.01,1.46,,,,,,
Super Monkey Ball,GC,2001,Puzzle,Atari,0.95,0.37,0.1,0.04,1.46,87,28,7.9,46,Amusement Vision,E
SoulCalibur IV,PS3,2008,Fighting,Ubisoft,0.72,0.4,0.14,0.2,1.46,85,65,7.9,129,Namco,T
Donkey Kong,2600,1981,Platform,Coleco,1.36,0.08,0,0.02,1.46,,,,,,
Mortal Kombat 4,PS,1998,Fighting,GT Interactive,0.81,0.55,0,0.1,1.46,,,,,,
New Play Control! Mario Power Tennis,Wii,2009,Sports,Nintendo,0.35,0.69,0.28,0.14,1.46,,,,,,
Mario Superstar Baseball,GC,2005,Sports,Nintendo,0.93,0.24,0.25,0.04,1.46,76,38,8.6,41,Namco,E
Wall-E,DS,2008,Platform,THQ,0.46,0.82,0,0.17,1.46,54,15,tbd,,Helixe,E
WCW vs the World,PS,1998,Fighting,THQ,1.17,0.2,0.04,0.05,1.46,,,,,,
Battlefield: Bad Company,X360,2008,Shooter,Electronic Arts,0.81,0.46,0.04,0.15,1.46,83,70,7.7,263,EA DICE,T
Homefront,X360,2011,Shooter,THQ,0.83,0.48,0.02,0.12,1.45,70,85,6,399,Kaos Studios,M
Onimusha 3: Demon Siege,PS2,2004,Action,Capcom,0.37,0.47,0.54,0.07,1.45,85,53,8.6,73,Capcom,M
Madden NFL 15,PS3,2014,Sports,Electronic Arts,1.08,0.11,0,0.27,1.45,,,2.7,13,EA Sports,E
Red Dead Revolver,PS2,2004,Shooter,Take-Two Interactive,0.71,0.55,0,0.19,1.45,73,42,7.8,70,Rockstar San Diego,M
Resident Evil: Outbreak,PS2,2003,Action,Capcom,0.54,0.35,0.46,0.1,1.45,71,40,8.3,94,Capcom,M
Tamagotchi,GB,1996,Simulation,Namco Bandai Games,0,0,1.44,0.01,1.45,,,,,,
4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,0,0,1.45,0,1.45,,,,,,
Dragon Ball Z,SNES,1993,Fighting,Namco Bandai Games,0,0,1.45,0,1.45,,,,,,
Game de Hakken!! Tamagotchi 2,GB,1997,Simulation,Namco Bandai Games,0,0,1.44,0.01,1.45,,,,,,
Namco Museum 64,N64,1999,Misc,Namco Bandai Games,1.24,0.17,0.03,0.01,1.45,,,,,,
Mass Effect 2,PS3,2011,Role-Playing,Electronic Arts,0.78,0.45,0.03,0.19,1.45,94,62,8.5,1081,BioWare,M
LEGO Battles: Ninjago,DS,2011,Strategy,Warner Bros. Interactive Entertainment,1.02,0.32,0,0.11,1.45,59,14,6.9,11,Hellbent Games,E
Tony Hawk's American Wasteland (Weekly american sales),PS2,2005,Sports,Activision,1.38,0.05,0,0.02,1.45,,,,,,
NBA 2K14,PS4,2013,Sports,Take-Two Interactive,0.89,0.31,0.01,0.23,1.45,85,20,6.5,368,Visual Concepts,E
The House of the Dead 2 & 3 Return,Wii,2008,Shooter,Sega,0.77,0.49,0.03,0.15,1.44,,,,,,
SingStar Pop,PS2,2007,Misc,Sony Computer Entertainment,0.04,1.08,0,0.32,1.44,73,13,7.5,8,SCEE London Studio,E10+
Kirby Super Star,SNES,1996,Platform,Nintendo,0.26,0.07,1.09,0.02,1.44,,,,,,
Sonic & Sega All-Stars Racing,Wii,2010,Racing,Sega,0.61,0.68,0,0.15,1.44,,,,,,
Disney Infinity,X360,2013,Action,Disney Interactive Studios,0.97,0.34,0,0.13,1.44,74,38,6.5,79,Avalanche Software,E10+
My Word Coach,DS,2007,Misc,Ubisoft,0.37,0.89,0,0.18,1.44,71,7,6.8,5,Ubisoft,E
Tiger Woods PGA Tour 2005,PS2,2004,Sports,Electronic Arts,1.03,0.32,0,0.09,1.44,88,30,8.2,20,EA Sports,E
NCAA Football 2003,PS2,2002,Sports,Electronic Arts,1.16,0.08,0,0.19,1.44,91,19,8.6,27,EA Sports,E
Star Wars: The Force Unleashed II,X360,2010,Action,LucasArts,0.95,0.37,0,0.11,1.43,61,59,5.7,180,LucasArts,T
Frogger 2: Swampy's Revenge,PS,1999,Action,Hasbro Interactive,0.8,0.54,0,0.09,1.43,77,4,7.9,8,Blitz Games,E
WWE SmackDown vs Raw 2008,X360,2007,Fighting,THQ,0.92,0.38,0,0.13,1.43,71,41,6.8,48,Yuke's,T
Kinect Joy Ride,X360,2010,Racing,Microsoft Game Studios,0.92,0.39,0,0.12,1.43,52,46,5,20,BigPark,E
Smarty Pants,Wii,2007,Misc,Electronic Arts,0.52,0.75,0,0.16,1.43,65,26,7.6,10,Planet Moon Studios,E
SNK vs. Capcom: The Match of the Millennium,PSP,2006,Fighting,Sega,0.53,0.57,0,0.34,1.43,,,,,,
Disney's DuckTales,GB,1988,Platform,Capcom,0.82,0.23,0.35,0.03,1.43,,,,,,
Disney Princess: Magical Jewels,DS,2007,Adventure,Disney Interactive Studios,1.12,0.19,0,0.11,1.43,,,tbd,,1st Playable Productions,E
Classic NES Series: Super Mario Bros.,GBA,2004,Platform,Nintendo,0,0,1.39,0.03,1.43,84,14,8.6,44,Nintendo,E
Triple Play 2000,PS,1999,Sports,Electronic Arts,0.79,0.54,0,0.09,1.43,,,,,,
Anno 2070,PC,2011,Strategy,Ubisoft,0,1.13,0,0.29,1.43,83,33,7,493,"Blue Byte, Related Designs",T
Hasbro Family Game Night,Wii,2008,Puzzle,Electronic Arts,0.96,0.33,0,0.13,1.43,63,12,7.5,11,EA Bright Light,E
Sonic Rivals,PSP,2006,Racing,Sega,0.73,0.42,0,0.27,1.42,64,25,7.8,38,Backbone Entertainment,E
BioShock,PS3,2008,Shooter,Take-Two Interactive,0.75,0.46,0.01,0.2,1.42,94,51,8.7,881,"Digital Extremes, 2K Marin",M
Mass Effect 3,PS3,2012,Role-Playing,Electronic Arts,0.63,0.56,0.03,0.2,1.42,93,30,5.5,1849,BioWare,M
Cabela's Big Game Hunter,PS2,2002,Sports,Activision,0.7,0.54,0,0.18,1.42,59,7,7.8,12,Sand Grain Studios,T
NBA Live 06 (Weekly american sales),PS2,2005,Sports,Electronic Arts,1.35,0.05,0,0.02,1.42,,,,,,
SimCity (2013),PC,2013,Simulation,Electronic Arts,0.48,0.77,0,0.17,1.42,64,75,2.2,4572,Maxis,E10+
The Legend of Zelda: The Minish Cap,GBA,2004,Action,Nintendo,0.89,0.22,0.22,0.1,1.42,89,56,9,203,Flagship,E
NFL Street,PS2,2004,Sports,Electronic Arts,1.15,0.08,0,0.19,1.42,80,36,8.9,45,EA Tiburon,E
Super Metroid,SNES,1994,Action,Nintendo,0.57,0.12,0.71,0.02,1.42,,,,,,
Pro Yakyuu Family Stadium '87,NES,1987,Sports,Namco Bandai Games,0.12,0,1.3,0,1.42,,,,,,
Dead Space 2,PS3,2011,Shooter,Electronic Arts,0.73,0.48,0,0.21,1.42,89,78,8.4,535,Visceral Games,M
Tiger Woods PGA Tour 09 All-Play,Wii,2008,Sports,Electronic Arts,0.8,0.47,0,0.14,1.42,81,18,8.7,34,EA Tiburon,E
Metal Gear Rising: Revengeance,PS3,2013,Action,Konami Digital Entertainment,0.45,0.37,0.44,0.16,1.42,80,61,7.9,746,PlatinumGames,M
Resident Evil (Remake),GC,2002,Action,Capcom,0.63,0.38,0.35,0.05,1.42,,,,,,
Rayman Raving Rabbids,Wii,2006,Misc,Ubisoft,1.22,0.06,0.02,0.11,1.42,76,54,7.9,116,Ubisoft Montpellier,E
Dragon Quest Monsters: Joker 2,DS,2010,Role-Playing,Square Enix,0.09,0.07,1.24,0.02,1.41,77,33,7.3,15,TOSE,E
UFC Undisputed 2010,PS3,2010,Fighting,THQ,0.8,0.4,0.02,0.18,1.41,85,54,7.2,48,Yuke's,T
LEGO Star Wars: The Video Game,GC,2005,Action,Eidos Interactive,1.09,0.28,0,0.04,1.41,,,,,,
Medal of Honor: Warfighter,PS3,2012,Action,Electronic Arts,0.48,0.62,0.06,0.26,1.41,55,22,6,250,Danger Close,M
Disney's The Lion King,GEN,1994,Platform,Virgin Interactive,0.97,0.37,0.03,0.05,1.41,,,,,,
Sonic's Ultimate Genesis Collection,X360,2009,Misc,Sega,0.85,0.43,0,0.13,1.41,79,45,8.5,40,Backbone Entertainment,E10+
Hello Kitty Party,DS,2007,Misc,Rising Star Games,0.78,0.51,0,0.12,1.41,,,tbd,,Barnstorm Games,E
The Sims 3,Wii,2010,Simulation,Electronic Arts,0.57,0.69,0,0.14,1.41,,,2.5,31,The Sims Studio,T
Knockout Kings 2000,PS,1999,Fighting,Electronic Arts,1.02,0.34,0,0.05,1.41,,,,,,
Gran Turismo 4 Prologue,PS2,2003,Racing,Sony Computer Entertainment,0,0.47,0.77,0.17,1.41,,,,,,
Diablo III,X360,2013,Role-Playing,Activision,0.9,0.39,0,0.12,1.41,87,42,6.6,384,Blizzard Entertainment,M
Twisted Metal: Black,PS2,2001,Racing,Sony Computer Entertainment,1.19,0.17,0,0.05,1.41,91,15,8.4,98,Incognito Inc.,M
NASCAR 2005: Chase for the Cup,PS2,2004,Racing,Electronic Arts,0.69,0.54,0,0.18,1.41,87,19,8.4,15,EA Tiburon,E
Fight Night Round 4,X360,2009,Fighting,Electronic Arts,0.95,0.33,0,0.13,1.4,87,76,8.1,86,EA Canada,T
Spider-Man: The Movie,XB,2002,Action,Activision,1.07,0.28,0,0.05,1.4,79,29,7.5,11,Treyarch,E
LEGO Star Wars II: The Original Trilogy,PSP,2006,Action,LucasArts,0.58,0.5,0,0.32,1.4,83,11,8.6,26,Traveller's Tales,E10+
Dead Space,X360,2008,Action,Electronic Arts,0.89,0.39,0,0.13,1.4,89,79,8.7,768,EA Redwood Shores,M
Need For Speed: Undercover,PS2,2008,Racing,Electronic Arts,0.38,0.08,0.03,0.93,1.4,,,6.5,38,Exient Entertainment,T
2Xtreme,PS,1996,Sports,Sony Computer Entertainment,1.15,0.2,0,0.05,1.4,,,,,,
LEGO Indiana Jones 2: The Adventure Continues,Wii,2009,Action,Activision,0.9,0.38,0,0.12,1.4,72,13,6.1,14,Traveller's Tales,E10+
Ridge Racer,PSP,2004,Racing,Sony Computer Entertainment,0.36,0.44,0.32,0.27,1.4,88,58,8.2,65,Namco,E
